,proc_id,title,URL
0,"Proclamation No. 1398, s. 2022","DECLARING MONDAY, 20 JUNE 2022, A SPECIAL (NON-WORKING) DAY IN THE CITY OF DAGUPAN, PROVINCE OF PANGASINAN",https://www.officialgazette.gov.ph/2022/06/17/proclamation-no-1398-s-2022/
1,"Proclamation No. 1397, s. 2022","DECLARING FRIDAY, 01 JULY 2022, A SPECIAL (NON-WORKING) DAY IN THE CITY OF DIPOLOG, PROVINCE OF ZAMBOANGA DEL NORTE",https://www.officialgazette.gov.ph/2022/06/16/proclamation-no-1397-s-2022/
2,"Proclamation No. 1396, s. 2022","DECLARING WEDNESDAY, 22 JUNE 2022, A SPECIAL (NON-WORKING) DAY IN THE CITY OF PAGADIAN, PROVINCE OF ZAMBOANGA DEL SUR",https://www.officialgazette.gov.ph/2022/06/14/proclamation-no-1396-s-2022/
3,"Proclamation No. 1395, s. 2022","DECLARING TUESDAY, 21 JUNE 2022, A SPECIAL (NON-WORKING) DAY IN THE MUNICIPALITY OF MAASIM, PROVINCE OF SARANGANI",https://www.officialgazette.gov.ph/2022/06/14/proclamation-no-1395-s-2022/
4,"Proclamation No. 1394, s. 2022","DESIGNATING SEVERAL PARCELS OF LAND LOCATED IN BARANGAY SANTIAGO, STO. TOMAS CITY, BATANGAS, FOR INCLUSION IN THE EXISTING LIGHT INDUSTRY & SCIENCE PARK III-SPECIAL ECONOMIC ZONE PURSUANT TO REPUBLIC ACT NO. 7916, AS AMENDED ",https://www.officialgazette.gov.ph/2022/06/13/proclamation-no-1394-s-2022/
5,"Proclamation No. 1392, s. 2022","CREATING AND DESIGNATING A BUILDING AND THE PARCEL OF LAND UPON WHICH IT STANDS, LOCATED ALONG 3 THEATER DRIVE, CIRCUIT, BARANGAY CARMONA, MAKATI CITY, AS SPECIAL ECONOMIC ZONE (INFORMATION TECHNOLOGY CENTER), PURSUANT TO REPUBLIC ACT NO. 7916, AS AMENDED ",https://www.officialgazette.gov.ph/2022/06/13/proclamation-no-1392-s-2022/
6,"Proclamation No. 1391, s. 2022","CREATING AND DESIGNATING A BUILDING AND THE PARCEL OF LAND UPON WHICH IT STANDS, LOCATED ALONG 1 THEATER DRIVE, CIRCUIT, BARANGAY CARMONA, MAKATI CITY, AS AN INFORMATION TECHNOLOGY CENTER, PURSUANT TO REPUBLIC ACT NO. 7916, AS AMENDED ",https://www.officialgazette.gov.ph/2022/06/13/proclamation-no-1391-s-2022/
7,"Proclamation No. 1389, s. 2022","DESIGNATING SEVERAL PARCELS OF LAND LOCATED IN BARANGAY SAHUD-ULAN, TANZA, CAVITE FOR INCLUSION INTO THE EXISTING SUNTRUST ECOTOWN TANZA-SPECIAL ECONOMIC ZONE, PURSUANT TO REPUBLIC ACT NO. 7916, AS AMENDED",https://www.officialgazette.gov.ph/2022/06/10/proclamation-no-1389-s-2022/
8,"Proclamation No. 1388, s. 2022","DECLARING FRIDAY, 24 JUNE 2022, A SPECIAL (NON-WORKING) DAY IN THE PROVINCE OF MASBATE",https://www.officialgazette.gov.ph/2022/06/10/proclamation-no-1388-s-2022/
9,"Proclamation No. 1390, s. 2022","DECLARING AGNES D. LOCSIN, SALVACION LIM-HIGGINS (POSTHUMOUS), MARILOU DIAZ-ABAYA (POSTHUMOUS), RICARDO “RICKY” LEE, NORA CABALTERA VILLAMAYOR, GEMINO H. ABAD, FIDES CUYUGAN-ASENSIO, AND ANTONIO “TONY” MABESA AS NATIONAL ARTISTS FOR 2022",https://www.officialgazette.gov.ph/2022/06/10/proclamation-no-1390-s-2022/
